Date/Time,Word Count,en,ja
2024.07.15-01.16.35,1569,1569,0
2024.07.15-08.39.37,1569,1569,1517
2024.07.15-08.45.21,1569,1569,1567
2024.07.15-10.39.40,1569,1569,240
2024.07.15-10.45.39,1573,1573,240
2024.07.15-10.57.17,1336,1336,465
2024.07.15-11.22.31,1048,1048,788
2024.07.15-13.55.58,998,998,829
2024.07.15-14.01.18,973,973,883
2024.07.15-14.14.43,973,973,903
2024.07.18-07.14.14,972,972,882
2024.07.18-07.16.23,970,970,878
2024.07.23-19.42.18,977,977,827
2024.08.28-22.24.17,928,928,525
2024.09.10-11.32.40,925,925,523
2024.09.10-11.36.08,926,926,717
2024.09.10-11.53.49,926,926,901
2024.09.10-12.12.03,926,926,906
2024.09.10-12.24.59,932,932,904
2024.09.10-12.25.49,932,932,912
2024.09.10-12.33.38,931,931,886
2024.09.10-12.34.16,932,932,912
2024.09.10-12.37.05,932,906,912
2024.09.10-12.38.09,932,932,912
2024.09.11-17.56.27,938,938,910
2024.09.11-17.59.58,940,940,918
2024.09.11-21.13.05,928,928,811
2024.09.11-21.16.45,929,929,865
2024.09.11-21.19.27,928,928,865
2024.09.15-21.21.52,910,910,853
2024.09.16-08.50.08,910,910,889
2024.09.16-09.02.11,910,910,890
2024.09.18-08.59.13,982,982,890
2024.09.18-09.15.07,975,975,895
2024.09.18-09.17.43,971,971,909
2024.09.21-21.20.54,984,984,942
2024.09.21-21.23.28,984,984,957
2024.09.22-23.36.45,1001,1001,916
2024.09.23-21.16.07,1009,1009,981
2024.09.25-09.07.43,1018,1018,983
2024.10.27-17.12.09,1047,1047,930
2024.11.02-16.09.05,1047,1047,1027
2024.11.03-09.51.58,1045,1045,1026
2024.11.10-10.38.11,1079,1079,1018
2024.11.10-15.00.10,1047,1047,1032
2024.12.09-08.06.49,1087,1087,1032
2024.12.09-08.08.43,1087,1087,1072
2024.12.14-14.50.01,1087,1087,1068
2024.12.15-11.10.30,1088,1088,1040
2025.01.19-11.20.13,1110,1110,1054
2025.01.20-05.48.40,1108,1108,1090
2025.01.24-18.08.54,1107,1107,1089
2025.01.25-07.44.37,1091,1091,1053
2025.01.25-19.25.11,1091,1091,1077
2025.01.26-11.27.18,1105,1105,1053
2025.01.28-13.17.17,1129,1129,1089
2025.01.28-13.21.22,1129,1129,1096
2025.01.28-13.23.35,1132,1132,1101
2025.01.28-13.24.17,1132,1132,1098
2025.01.28-13.26.23,1132,1132,1107
2025.01.28-20.26.58,1135,1135,1106
2025.01.28-20.33.22,1137,1137,1085
2025.02.01-08.22.04,1170,1170,1084
2025.02.01-08.29.31,1170,1170,1154
2025.02.01-08.33.12,1170,1170,1156
2025.02.01-08.35.51,1153,1153,1139
2025.02.01-10.22.27,1154,1154,1139
2025.02.02-10.57.33,1188,1188,1131
2025.02.02-11.00.48,1172,1172,1133
2025.02.09-16.18.53,1189,1189,832
2025.02.09-16.26.49,1189,1189,1175
2025.02.16-20.03.11,1216,1216,1173
2025.02.22-13.23.59,1216,1216,1201
2025.02.24-12.00.26,1216,1216,1202
2025.03.20-16.56.04,1222,1222,1200
2025.03.20-16.58.08,1222,1222,1207
2025.03.22-16.04.32,1210,1210,1196
2025.03.29-19.20.35,1222,1222,1169
2025.03.29-19.23.46,1194,1194,1168
2025.03.29-19.25.43,1192,1192,1170
2025.03.29-19.30.05,1178,1178,1164
2025.03.29-19.32.42,1824,1824,1164
2025.03.29-19.33.19,1178,1178,1164
2025.03.30-14.06.50,1190,1190,1164
2025.03.30-18.21.17,1190,1190,1176
2025.04.02-20.06.04,1280,1280,490
2025.04.02-21.08.38,1234,1234,481
2025.04.02-21.25.25,1230,1230,791
2025.04.02-21.26.21,1229,1229,791
2025.04.02-21.36.28,1204,1204,1139
2025.04.02-21.42.56,1203,1203,1181
2025.04.03-19.17.21,1205,1205,1189
2025.04.05-12.38.16,1209,1209,1191
2025.04.05-20.24.38,1209,1209,1195
2025.04.12-11.07.07,1210,1210,1195
2025.04.12-11.09.26,1209,1209,1195
2025.04.19-10.52.00,1219,1219,1187
2025.04.20-09.11.11,1222,1222,1205
2025.04.20-09.12.12,1223,1223,1205
2025.04.26-08.15.26,1227,1227,1209
2025.04.27-17.31.04,1227,1227,1213
2025.05.01-20.07.06,1231,1231,1205
2025.05.02-22.09.53,1232,1232,1216
2025.05.02-22.10.29,1232,1232,1218
2025.05.06-22.13.04,1243,1243,1171
2025.05.11-07.22.03,1243,1243,1229
2025.06.14-19.45.24,1423,1423,1229
2025.06.14-20.15.56,1423,1423,1409
2025.06.24-06.53.05,1475,1475,1398
2025.06.24-07.13.22,1441,1441,1427
2025.07.06-15.41.33,1446,1446,1427
2025.09.27-10.11.41,1457,1457,1369
2025.09.27-10.16.29,1457,1457,1457
2025.09.27-10.20.02,1474,1474,1454
2025.09.27-10.22.43,1474,1474,1474
2025.10.05-09.19.00,1486,1486,1467
2025.10.05-10.19.32,1486,1486,1486
2025.10.12-20.55.28,1500,1500,1486
2025.10.12-20.57.43,1500,1500,1500
2025.10.25-15.21.58,1548,1548,1500
2025.10.25-15.24.38,1548,1548,1538
2025.10.25-15.26.34,1511,1511,1500
2025.10.26-15.48.09,1500,1500,1462
2025.10.26-15.50.08,1500,1500,1500
2025.11.15-21.26.34,1505,1505,1497
2025.11.16-09.03.34,2305,2305,1491
2025.11.16-09.13.12,2304,2304,2287
2025.11.16-09.13.37,2304,2304,2304
2025.11.22-11.43.40,2312,2312,2304
2025.11.22-12.17.02,2312,2312,2312
